STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/24/2003,50,54,45
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/25/2003,46,50,36
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/26/2003,32,35,30
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/27/2003,31,35,25
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/28/2003,36,46,23
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/29/2003,45,55,39
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/30/2003,43,48,37
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",12/31/2003,36,40,31
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/1/2004,33,34,31
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/6/2004,50,57,44
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/7/2004,4,4,4
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/8/2004,-2,4,-8
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/9/2004,-3,5,-10
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/10/2004,-4,3,-11
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/11/2004,6,19,-10
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/12/2004,20,25,15
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/13/2004,13,23,-7
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/14/2004,-10,-4,-16
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/15/2004,-9,1,-14
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/16/2004,1,16,-16
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/17/2004,22,32,14
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/18/2004,24,33,16
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/19/2004,19,25,14
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/20/2004,17,26,13
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/21/2004,17,29,9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/22/2004,22,28,13
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/23/2004,9,18,-2
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/24/2004,0,9,-7
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/25/2004,-3,7,-12
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/26/2004,-1,9,-9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/27/2004,9,25,-6
